current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
1,15006,2.7880007240199913,0.39827594825842244,0.099,1,0,,,0,0.400100446696811,0,0,1.0,3.0032201506289353,0.5000230279685145,0,0.0,5971,0.9997876005382424,0.2524478843793162,0,0.0,4579,2.9860919887457977,0.5000260942760942,0,0.0,2970,0.0,0.2538583045487599,0,0.0,1486,0.0,0.0,31378.948148845095,0.0,2.0910934392139815
2,15009,2.78610369481204,0.3986600787230656,0.0997,1,0,0.0,1.0,0,0.40013835189599867,0,0,1.9919786096256684,3.003057032982354,0.5000510908710217,0,0.0,5970,1.0000084499441264,0.2524344516265534,0,0.0,4576,2.985803888995672,0.5000505645433098,0,0.0,2967,0.0,0.25506780445450256,0,0.0,1496,3.0,0.0,31363.169292499228,0.0,2.08962417832628
3,15013,2.786089992748628,0.3985904769806891,0.0997,1,0,0.3333333333333333,1.3333333333333333,7,0.40024755123078765,6,0,2.985303941215765,3.003131708248434,0.5001549640581732,1,11,5970,1.0001633921174968,0.2526194434565174,3,4479,4578,2.9855602833557127,0.5003553639927542,3,22,2968,0.0,0.2548061581336601,0,0.0,1497,9.0,1.0,31368.587228356893,0.0,2.0894283106878575
4,15015,2.785545415583839,0.3986892376544061,0.1,1,0,0.6666666666666666,1.9230769230769231,4,0.40029171956706255,4,0,3.9686875416389076,3.0029563518586637,0.5002288183911736,1,12,5971,1.0002742804643594,0.2525668904688924,1,1492,4576,2.986221584272537,0.5005162720757435,2,24,2967,0.0,0.2549873581954456,0,0.0,1501,13.0,3.0,31368.026924889695,0.0,2.0891126823103305
5,15019,2.7843063060115836,0.39886771853598524,0.1002,1,0,1.3043478260869565,2.1904761904761907,6,0.40038991014355463,5,0,4.948172757475083,3.0029563518586637,0.5002572935209676,0,0.0,5971,1.0002744707816407,0.2528441256863238,3,4496,4578,2.9856719483062557,0.5006600243578321,3,28,2965,0.0,0.25544344267068925,0,0.0,1505,21.0,7.0,31362.42623091457,0.0,2.088183383109027
6,15021,2.7834065713370344,0.39912993041202227,0.1007,1,0,1.358974358974359,2.769230769230769,6,0.40047683444819504,4,0,5.915343915343915,3.0031418316218357,0.5002834505804755,0,0.0,5967,1.0000007360699033,0.25292248421589764,1,1496,4576,2.9850834576620513,0.5008401428542234,5,51,2966,0.0,0.2562870563194878,0,0.0,1512,26.0,10.0,31349.5082129691,0.0,2.0870453507069446
7,15029,2.7832817796015843,0.39912755519459303,0.1008,1,0,2.0444444444444443,3.25,11,0.4004945139445471,7,0,6.885148514851485,3.0036331829514307,0.5003486199004461,4,39,5968,1.000068961705756,0.2530926546481126,3,4066,4579,2.985177108542588,0.5009283175515593,4,27,2967,0.0,0.2559642922096053,0,0.0,1515,32.0,16.0,31362.019092550734,0.0,2.086766856913344
8,15025,2.7842574109065223,0.39922364070246297,0.101,1,0,2.537037037037037,3.888888888888889,6,0.40062717988148433,3,0,7.847167325428195,3.0041298210217042,0.5004602635039326,3,50,5967,1.0000164882341644,0.2531033608205421,0,0.0,4575,2.985768846040653,0.5010196338551474,3,25,2965,0.0,0.25672325115734185,0,0.0,1518,36.0,24.0,31353.522704218427,0.0,2.0867569187499737
9,15024,2.7852449871528457,0.39928439394768356,0.101,1,0,2.9838709677419355,4.414634146341464,13,0.40067589587660046,9,0,8.819380355965722,3.004352512986079,0.5005042298663409,4,39,5967,1.000293931626424,0.2534005127217822,4,4174,4574,2.9879729980043837,0.5010742282197166,5,36,2966,0.0,0.2557717956153442,0,0.0,1517,41.0,30.0,31364.643800328267,0.0,2.0876360356980963
10,15025,2.784708300871222,0.3995166990780933,0.101,1,0,3.3943661971830985,4.770833333333333,13,0.40081078141745774,11,0,9.768115942028986,3.0044350739967642,0.500685168997556,4,18,5963,0.9997579278682065,0.25364046223704634,5,4440,4578,2.989299405289099,0.5011472786140219,4,66,2966,0.0,0.25627632646540704,0,0.0,1518,48.0,40.0,31358.600176110886,0.0,2.0870948536513025
