current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
1,15005,2.8046643453769837,0.3927506846283914,0.0988,1,0,0.0,,0,0.40202690663406754,0,0,1.0,2.9920555737201124,0.500021940718662,0,0.0,6039,0.9952576794987097,0.2535436446530702,0,0.0,4508,3.025955191415072,0.5000176411290322,0,0.0,2976,0.0,0.25759378134152733,0,0.0,1482,0.0,0.0,31560.887878527243,0.0,2.103358072544298
2,15009,2.802477939812705,0.39291586615146007,0.0993,1,0,0.4,1.0,3,0.40210800003800456,3,0,1.991275167785235,2.9912471165200882,0.5000447390223695,0,0.0,6035,0.9956440192054135,0.253923096602726,3,4467,4509,3.026271078902812,0.5000403361344538,0,0.0,2975,0.0,0.2583286778447771,0,0.0,1490,5.0,0.0,31544.691690531847,3.76358629831139e-17,2.1017184149864616
3,15014,2.802329663536548,0.39315595177081075,0.0994,1,0,0.9333333333333333,1.4545454545454546,7,0.40217290422230495,5,0,2.981245813797723,2.991924644112271,0.5001436508895126,4,33,6038,0.9954146828837492,0.25404734231491893,2,2972,4511,3.0268751837548815,0.5000622476446837,1,0,2972,0.0,0.25864973793717966,0,0.0,1493,11.0,1.0,31551.42968175804,0.0,2.1014672759929396
4,15010,2.8032235898449747,0.39313902900028097,0.0996,1,0,1.45,2.066666666666667,5,0.4023570278501426,3,0,3.965886287625418,2.9925902853783857,0.5002079533187618,1,14,6036,0.9952031786733583,0.2542003335450629,0,0.0,4506,3.0281268140124804,0.5001743319756177,4,28,2973,0.0,0.2593169163083814,0,0.0,1495,15.0,4.0,31550.281503705235,0.0,2.10195079971387
5,15013,2.803675482835311,0.39328464467639324,0.0995,1,0,1.8846153846153846,3.066666666666667,11,0.4023631630334432,7,0,4.955153949129853,2.9936121744367066,0.5002682406630916,3,29,6036,0.9953778600873051,0.2544471503453733,5,4461,4509,3.0283042130888727,0.5002269478009758,3,13,2974,0.0,0.2584216347465003,0,0.0,1494,15.0,6.0,31563.77858575997,0.0,2.1024297998907566
6,15018,2.8028489539397206,0.39339207138326165,0.1,1,0,2.2058823529411766,3.1904761904761907,7,0.4025113747735468,5,0,5.918774966711052,2.993411417858112,0.5003716977522079,3,32,6035,0.9956942512526394,0.2546512077565348,2,2972,4507,3.028664197778043,0.5002749248074411,2,16,2974,0.0,0.25941545318143805,0,0.0,1502,21.0,11.0,31560.0792213613,-3.760912822069461e-17,2.101483501222616
7,15023,2.8022537491654225,0.3934151794267476,0.1002,1,0,2.725,3.576923076923077,10,0.40262241700530976,6,0,6.883720930232558,2.9934683080042364,0.5004750076138861,4,19,6033,0.995685671206486,0.25482553969183586,4,4470,4510,3.0291251420233074,0.5004089956636163,2,38,2975,0.0,0.2599673778250871,0,0.0,1505,26.0,18.0,31561.783976850194,0.0,2.1008975555381846
8,15025,2.801721216913333,0.3938095126391184,0.1008,1,0,3.1041666666666665,3.8181818181818183,8,0.40269954515063305,4,0,7.8303630363036305,2.9944777776120017,0.5005681360388197,6,52,6032,0.9952062471562035,0.2548807449691171,1,1488,4506,3.030247321883078,0.5004898199176306,1,26,2972,0.0,0.26084837470367106,0,0.0,1515,33.0,26.0,31552.98434487801,0.0,2.100032235931977
9,15030,2.803073675223975,0.3937095830250687,0.1005,1,0,3.6481481481481484,4.705882352941177,16,0.4027850799550543,11,0,8.818001323626737,2.9951612892748587,0.5006748973022285,7,36,6034,0.9948595099525062,0.2551619208620203,5,4044,4511,3.031610787665712,0.500599297029959,4,57,2974,0.0,0.2600725923409322,0,0.0,1511,34.0,33.0,31576.624951398127,-3.757574980812004e-17,2.100906517059087
10,15031,2.8023485388367204,0.39404455757069073,0.1011,1,0,3.921875,4.72093023255814,7,0.40285029691811913,3,0,9.748518762343647,2.994709646136525,0.5007419752713526,5,31,6031,0.9949781272901755,0.2551909024800454,0,0.0,4510,3.03413206428472,0.5006839562907759,2,62,2971,0.0,0.26124091888730777,0,0.0,1519,43.0,43.0,31562.85159291803,0.0,2.0998504153361703
